0.5108,0.1274,0.8943,0.5465,0.0338,0.1057,0.6314730355975646
0.5908,0.1816,1.,1.,0.3160,0.,0.7703343835606378
0.5474,0.1003,0.9946,0.9487,0.2120,0.0054,0.7646646249660329
0.5854,0.2060,0.9648,0.8539,0.2621,0.0352,0.752965239679497
0.5149,0.0298,1.,1.,0.1230,0.,0.7215024860275703
0.5976,0.1978,0.9973,0.9865,0.3248,0.0027,0.7735842128068977
0.5190,0.0379,1.,1.,0.1391,0.,0.7718289378015732
0.5610,0.1301,0.9919,0.9412,0.2404,0.0081,0.6865769199697417
0.5759,0.1545,0.9973,0.9828,0.2820,0.0027,0.7756295855641484
0.5176,0.0461,0.9892,0.8095,0.1059,0.0108,0.6408149176342711
