0.9798,0.9733,0.9863,0.9861,0.9596,0.0137,0.9979085320965244
0.9785,0.9772,0.9798,0.9798,0.9571,0.0202,0.9977163030658941
0.9810,0.9806,0.9815,0.9814,0.9621,0.0185,0.9972422866343085
0.9797,0.9693,0.9901,0.9899,0.9596,0.0099,0.9976428502589213
0.9783,0.9718,0.9849,0.9847,0.9568,0.0151,0.9974303001767074
0.9801,0.9756,0.9845,0.9844,0.9602,0.0155,0.9979350287922458
0.9822,0.9797,0.9847,0.9847,0.9645,0.0153,0.9980399317242183
0.9765,0.9722,0.9808,0.9806,0.9531,0.0192,0.9969017222289538
0.9802,0.9690,0.9914,0.9912,0.9606,0.0086,0.9972523364689434
0.9789,0.9730,0.9847,0.9845,0.9578,0.0153,0.9973633228024226
