NPInter 4158,,,,,,,,
random+sum+withoutside.csv,mean,0.9289,0.92568,0.9321,0.93169,0.85783,0.0679,0.981295467
random+sum+withoutside.csv,std,0.0036582,0.0044993,0.0051121,0.0048631,0.0073103,0.0051121,0.0015746
