,,,ACC,Sen,Spe,Pre,MCC,FPR,AUC,,,,ACC,Sen,Spe,Pre,MCC,FPR,AUC
RPI369,random,34.59¡À1.18,34.07¡À2.83,35.12¡À3.36,34.4¡À1.3,-0.3086¡À0.0237,64.88¡À3.36,29.25¡À1.03,,RPI369,random,34.59¡À1.18,34.40¡À1.30,34.07¡À2.83,29.25¡À1.03,,,,
,sort random,91.18¡À1.03,89.59¡À0.93,92.76¡À1.75,92.55¡À1.68,0.8241¡À0.0207,7.24¡À1.75,94.51¡À0.46,,,sort random,91.18¡À1.03,92.55¡À1.68,89.59¡À0.93,94.51¡À0.46,,,,
,sort,94.17¡À0.83,92.09¡À0.76,96.26¡À1.23,96.11¡À1.24,0.8843¡À0.0168,3.74¡À1.23,96.38¡À0.51,,,sort,94.17¡À0.83,96.11¡À1.24,92.09¡À0.76,96.38¡À0.51,,,,
RPI7317,random,87.6¡À0.48,89.09¡À3.21,86.12¡À2.93,86.63¡À2.1,0.7537¡À0.0103,13.88¡À2.93,94.73¡À0.36,,RPI7317,random,87.60¡À0.48,86.63¡À2.10,89.09¡À3.21,94.73¡À0.36,,,,
,sort random,93.22¡À0.67,93.1¡À1.66,93.35¡À0.98,93.34¡À0.84,0.8646¡À0.0131,6.65¡À0.98,98.17¡À0.23,,,sort random,93.22¡À0.67,93.34¡À0.84,93.10¡À1.66,98.17¡À0.23,,,,
,sort,96.86¡À0.28,96.73¡À0.25,96.99¡À0.76,96.99¡À0.73,0.9372¡À0.0056,3.01¡À0.76,99.16¡À0.06,,,sort,96.86¡À0.28,96.99¡À0.73,96.73¡À0.25,99.16¡À0.06,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Accuracy,Precision,Sensitivity,AUROC,,,,,,,,,,,,,
NPInter_10412,random,mean,0.91582,0.92533,0.9047,0.958885034,,,,,,,,,,,,,
NPInter_10412,random,std,0.0040871,0.0037971,0.0099236,0.0024851,,,,,,,,,,,,,
NPInter_10412,sort random,mean,0.97444,0.97792,0.97079,0.995670009,,,,,,,,,,,,,
NPInter_10412,sort random,std,0.0014065,0.0023083,0.002508,0.0003537,,,,,,,,,,,,,
NPInter_10412,sort,mean,0.97952,0.98473,0.97417,0.997543261,,,,,,,,,,,,,
NPInter_10412,sort,std,0.0015747,0.0036981,0.0040169,0.000366,,,,,,,,,,,,,
RPI2241,random,mean,0.56401,0.56741,0.53919,0.587824201,,,,,,,,,,,,,
RPI2241,random,std,0.0091757,0.0096244,0.0251718,0.012548,,,,,,,,,,,,,
RPI2241,sort random,mean,0.95769,0.96179,0.95333,0.984843305,,,,,,,,,,,,,
RPI2241,sort random,std,0.0050958,0.0088959,0.0066893,0.0012283,,,,,,,,,,,,,
RPI2241,sort,mean,0.97024,0.97392,0.96643,0.988700809,,,,,,,,,,,,,
RPI2241,sort,std,0.0026496,0.0065314,0.0052614,0.0016332,,,,,,,,,,,,,
RPI369,random,mean,0.34594,0.34397,0.34067,0.292472881,,,,,,,,,,,,,
RPI369,random,std,0.011843,0.0130259,0.028323,0.0102888,,,,,,,,,,,,,
RPI369,sort random,mean,0.9118,0.92553,0.89591,0.945127092,,,,,,,,,,,,,
RPI369,sort random,std,0.0102565,0.0167535,0.0093049,0.0046147,,,,,,,,,,,,,
RPI369,sort,mean,0.94173,0.96108,0.92087,0.963765689,,,,,,,,,,,,,
RPI369,sort,std,0.0082859,0.0123562,0.00764,0.005104,,,,,,,,,,,,,
RPI7317,random,mean,0.87605,0.86626,0.89092,0.947326932,,,,,,,,,,,,,
RPI7317,random,std,0.0048289,0.0209669,0.0321126,0.0036041,,,,,,,,,,,,,
RPI7317,sort random,mean,0.93223,0.93344,0.93099,0.981707816,,,,,,,,,,,,,
RPI7317,sort random,std,0.0066817,0.0084123,0.0166058,0.0022766,,,,,,,,,,,,,
RPI7317,sort,mean,0.96859,0.96992,0.96726,0.991632962,,,,,,,,,,,,,
RPI7317,sort,std,0.0028022,0.0073438,0.0025043,0.0005875,,,,,,,,,,,,,
