tensor(0.9705),tensor(0.9688),tensor(0.9723),tensor(0.9722),tensor(0.9411),tensor(0.0277),0.987952404590846
tensor(0.9692),tensor(0.9594),tensor(0.9790),tensor(0.9786),tensor(0.9386),tensor(0.0210),0.9897134275612042
tensor(0.9728),tensor(0.9625),tensor(0.9830),tensor(0.9827),tensor(0.9458),tensor(0.0170),0.9894175342850903
tensor(0.9699),tensor(0.9572),tensor(0.9826),tensor(0.9821),tensor(0.9401),tensor(0.0174),0.9894139501135089
tensor(0.9683),tensor(0.9639),tensor(0.9728),tensor(0.9725),tensor(0.9367),tensor(0.0272),0.9901244125692117
tensor(0.9699),tensor(0.9616),tensor(0.9781),tensor(0.9778),tensor(0.9399),tensor(0.0219),0.9898341942314351
tensor(0.9712),tensor(0.9652),tensor(0.9772),tensor(0.9770),tensor(0.9425),tensor(0.0228),0.9906950923332379
tensor(0.9659),tensor(0.9634),tensor(0.9683),tensor(0.9682),tensor(0.9317),tensor(0.0317),0.988711552043864
tensor(0.9685),tensor(0.9630),tensor(0.9741),tensor(0.9738),tensor(0.9371),tensor(0.0259),0.9887777596577992
tensor(0.9650),tensor(0.9589),tensor(0.9710),tensor(0.9706),tensor(0.9300),tensor(0.0290),0.9883177909715116
