0.9241,0.9482,0.9000,0.9046,0.8492,0.1000,0.9610186193226321
0.9230,0.9554,0.8905,0.8972,0.8477,0.1095,0.9631434329371721
0.9115,0.9301,0.8930,0.8968,0.8237,0.1070,0.9492700951309321
0.9159,0.9712,0.8605,0.8744,0.8369,0.1395,0.9644663306279924
0.9166,0.9396,0.8936,0.8983,0.8341,0.1064,0.9657191700406561
0.9257,0.9405,0.9110,0.9135,0.8518,0.0890,0.9748855139811049
0.9185,0.9194,0.9176,0.9177,0.8370,0.0824,0.9637245753481347
0.9193,0.9317,0.9068,0.9091,0.8388,0.0932,0.9681435323747284
0.9338,0.9668,0.9009,0.9070,0.8695,0.0991,0.9874316509777942
0.9288,0.9799,0.8777,0.8891,0.8622,0.1223,0.9870088153699543
