0.9212,0.9519,0.8905,0.8968,0.8440,0.1095,0.96382479696659
0.9135,0.9151,0.9118,0.9121,0.8269,0.0882,0.9581038490414663
0.9311,0.9605,0.9017,0.9072,0.8638,0.0983,0.9796248803982047
0.9192,0.9543,0.8841,0.8917,0.8404,0.1159,0.9772624589907714
0.9239,0.9620,0.8858,0.8939,0.8502,0.1142,0.9665189182625502
0.9176,0.9735,0.8618,0.8757,0.8405,0.1382,0.9644232071980541
0.9198,0.9629,0.8767,0.8865,0.8427,0.1233,0.9601566857311277
0.9300,0.9667,0.8933,0.9006,0.8623,0.1067,0.9786296146958893
0.8794,0.8767,0.8821,0.8814,0.7588,0.1179,0.9556528839326472
0.9248,0.9604,0.8892,0.8965,0.8518,0.1108,0.9632007294473456
